id	title	publishedAt	thumbnailUrl	categoryId	defaultAudioLanguage	tags	viewCount	likeCount	dislikeCount	commentCount	uploadStatus	privacyStatus	license	embeddable	publicStatsViewable	madeForKids	topicCategories	duration	dimension	definition	caption	licensedContent	contentRating	projection
vuoaLan88i4	Making of Main Teri Mohabbat Mein /Jaane Jigar Ep8 | Payal D, Benny D|T-Series Mixtape S3 | Ahmed K	2021-08-29T09:42:39Z	https://i.ytimg.com/vi/vuoaLan88i4/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	218972	8079	592	1629	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT1M34S	2d	hd	false	True	{}	rectangular
oxTJkkcqk7M	Aao Milo/Kya Mujhe Pyar Hai Teaser Ep10 |Sukriti Kakar/Ash King |Abhijit V|T-SeriesMixtapeS3 |1 Sept	2021-08-28T07:30:03Z	https://i.ytimg.com/vi/oxTJkkcqk7M/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	306069	8679	414	1190	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']	PT19S	2d	hd	false	True	{}	rectangular
9qXBo2-rUHk	Janmashtami Celebrations | Audio Jukebox | Happy Janmashtami |  T-Series	2021-08-28T03:58:39Z	https://i.ytimg.com/vi/9qXBo2-rUHk/default.jpg	10	hi	['krishan janmashtami', 'krishan bhajans', 'jai shri krishna', 'keshav madhav', 'gobind', 'janmashtami', 'कृष्ण भजन', 'krishan ji song', 'जन्माष्टमी भजन', 'kunj', 'bihari', 'कृष्ण', 'krishan', 'krishna', 'janmastami', 'janmashtami 2018', 'janmashtami special bhajan', 'festival songs', 'happy krishna janmastami', 'kanha', 'mathura', 'janmashtami songs', 'krishna bhajan', 'krishna bhajans']	450907	28169	672	2857	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT25M59S	2d	hd	false	True	{}	rectangular
_VR6rWWL-9g	Ladka Aaya Hai Dekhne | Movie Clip 1| Batti Gul Meter Chalu | Shahid Kapoor, Shraddha K, Divyendu S	2021-08-27T12:30:13Z	https://i.ytimg.com/vi/_VR6rWWL-9g/default.jpg	10	hi	['latest hindi songs', 'bollywood songs', 'songs', 'hindi songs', 'songs2018', 'hard hard batti gul meter chalu', 'batti gul meter chalu songs', 'batti gul meter chalu', 'shahid kapoor new song', 'latest bollywood songs', 'hindi songs 2018', 'shahid kapoor', 'shraddha kapoor', 'batti gul meter chalu official trailer', 'batti gul meter chalu song', 'dekhte dekhte', 'batti gul meter chalu full movie', 'batti gul metre chalu', 'dekhte dekhte song', 'shahid kapoor movies']	75708	1656	188	427	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']	PT4M17S	2d	hd	false	True	{}	rectangular
ZFUr3nN8GR8	TERI AANKHON MEIN Teaser ► THALAIVII | Kangana Ranaut | Armaan M, Prajakta S | Releasing 30 August	2021-08-27T11:30:05Z	https://i.ytimg.com/vi/ZFUr3nN8GR8/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	372334	11241	1305	1907	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music']	PT29S	2d	hd	false	True	{}	rectangular
itFiW4Uh5sQ	Ishq Mein Teaser | Meet Bros Ft. Sachet Tandon | Sunny K & Sahher B | Kumaar| OUT On 2 Sept.	2021-08-27T08:31:29Z	https://i.ytimg.com/vi/itFiW4Uh5sQ/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs', 'Ishq Mein song', 'Ishq Mein video', 'Ishq Mein tseries', 'Ishq Mein lyrics', 'Ishq Mein lyrical', 'Ishq Mein hindi song', 'Ishq Mein new song', 'Ishq Mein full video', 'Ishq Mein audio', 'Ishq Mein hit songs 2021', 'Ishq Mein 2021 hindi songs']	945068	37268	1113	2727	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music']	PT32S	2d	hd	false	True	{}	rectangular
fiMI_UEZGc0	Making of Tumse Milna/Is Kadar  Ep7 | Guru R, Dhvani B | Abhijit V | T-Series Mixtape S3	2021-08-26T08:29:18Z	https://i.ytimg.com/vi/fiMI_UEZGc0/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs', 't series mixtape season 3', 'T series mixtape rewind', 't series mixtape season 3 all songs', 'Amazon prime music', 't series', 't series mixtape season 3 sachet parampara', 't series mixtape season 3 darshan rawal', 'amazon mixtape', 'mixtape Amazon prime music', 'guru randhawa song', 'dhvani bhanushali new song']	410816	14739	801	1700	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT1M15S	2d	hd	false	True	{}	rectangular
miJXSrm3gz4	Hare Krishna Hare Rama |Jubin Nautiyal |Shabbir Ahmed,Ayaz Kohli |Lovesh Nagar| Janmashtami Special	2021-08-26T03:31:11Z	https://i.ytimg.com/vi/miJXSrm3gz4/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', '2021 songs', 'hindi movie songs', 'krishna', 'hare krishna hare rama', 'hare', 'hare krishna', 'krishna bhajans', 'hare krishna maha mantra', 'hare krishna mantra', 'hare krishna bhajan', 'mantra hare krishna', 'krishna songs', 'lord krishna bhajans', 'bhajan krishna', 'krishna bhajan', 'bhajans of krishna', 'lord krishna', 'hindi bhajans']	7592397	191740	4165	10489	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT7M	2d	hd	false	True	{}	rectangular
iO4BvtFDheo	Nain Bengali (Audio) | Guru Randhawa | David Zennie | Vee | Bhushan Kumar	2021-08-25T12:00:31Z	https://i.ytimg.com/vi/iO4BvtFDheo/default.jpg	10	hi	['nain bengali guru song', 'nain bengali song', '2021 hindi songs', '2021 new songs', 't-series', '2021 songs', 'hindi 2021 songs', 'hindi movie songs', 'Nain bengali', 'Guru randhawa', 'Nain bengali song', 'Nain bengali video', 'Nain bengali film song', 'Nain bengali tseries', 'Nain bengali lyrics', 'Nain bengali lyrical', 'Nain bengali hindi song', 'Nain bengali new song', 'Nain bengali audio', 'Guru randhawa song', 'Guru randhawa video', 'Guru randhawa new song', 'Guru randhawa hit songs 2021']	363953	18573	994	1836	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M24S	2d	hd	false	True	{}	rectangular
tzXCmNrMXyU	Beetein Lamhe/Madno★ Ep9 | Zara K, Tanishk B, Abhijit V |  T-Series Mixtape S3 | Ahmed K | Bhushan K	2021-08-25T05:30:23Z	https://i.ytimg.com/vi/tzXCmNrMXyU/default.jpg	10	hi	['t series mixtape season 3', 'T series mixtape rewind', 't series mixtape season 3 all songs', 't series mixtape season 3 jukebox', 't series mixtape season 3 release date', 'Amazon prime music', 't series', 't series mixtape season 3 sachet parampara', 't series mixtape season 3 darshan rawal', 'amazon mixtape', 'mixtape Amazon prime music', 'guru randhawa song', 'dhvani bhanushali new song']	724116	28475	1855	2016	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT4M58S	2d	hd	false	True	{}	rectangular
